symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAOI,2025-03-31 04:00:00+00:00,15.49,15.8849,15.11,15.35,2859526.0,30903.0,15.404723
AAOI,2025-04-01 04:00:00+00:00,15.36,15.36,14.4407,15.09,2814360.0,28758.0,14.98547
AAOI,2025-04-02 04:00:00+00:00,14.57,16.43,14.57,15.96,3221236.0,35698.0,15.829242
AAOI,2025-04-03 04:00:00+00:00,14.84,14.87,12.655,12.83,6047956.0,56969.0,13.601542
AAOI,2025-04-04 04:00:00+00:00,12.01,12.4,10.23,10.8,6541597.0,57622.0,10.997286
AARD,2025-03-31 04:00:00+00:00,7.46,7.9,6.79,7.51,350277.0,3694.0,7.315224
AARD,2025-04-01 04:00:00+00:00,7.5,9.7,7.5,8.29,234671.0,2930.0,8.577068
AARD,2025-04-02 04:00:00+00:00,8.39,9.42,8.01,9.35,99686.0,1240.0,8.832407
AARD,2025-04-03 04:00:00+00:00,9.15,9.19,8.34,8.69,149250.0,1272.0,8.692636
AARD,2025-04-04 04:00:00+00:00,8.23,8.84,7.6,8.16,208458.0,1523.0,8.148309
ABEO,2025-03-31 04:00:00+00:00,4.91,4.96,4.68,4.76,868421.0,5416.0,4.783312
ABEO,2025-04-01 04:00:00+00:00,4.74,4.7428,4.4205,4.45,959517.0,7007.0,4.517838
ABEO,2025-04-02 04:00:00+00:00,4.44,4.915,4.44,4.68,1238202.0,7783.0,4.716835
ABEO,2025-04-03 04:00:00+00:00,4.54,4.985,4.5101,4.95,996590.0,6823.0,4.816385
ABEO,2025-04-04 04:00:00+00:00,4.94,4.99,4.4,4.52,745836.0,6073.0,4.591506
ABVEW,2025-03-31 04:00:00+00:00,0.0222,0.0234,0.022,0.0221,43622.0,29.0,0.022062
ABVEW,2025-04-01 04:00:00+00:00,0.022,0.0223,0.022,0.022,20231.0,57.0,0.022065
ABVEW,2025-04-02 04:00:00+00:00,0.022,0.023,0.022,0.022,1446.0,16.0,0.022409
ABVEW,2025-04-03 04:00:00+00:00,0.0221,0.0235,0.0221,0.0221,350.0,4.0,0.022567
ABVEW,2025-04-04 04:00:00+00:00,0.0234,0.0235,0.0221,0.0221,4898.0,14.0,0.023179
ABVX,2025-03-31 04:00:00+00:00,6.41,6.41,5.82,6.25,297515.0,1838.0,6.216026
ABVX,2025-04-01 04:00:00+00:00,6.26,6.26,5.76,5.89,216501.0,1968.0,5.971242
ABVX,2025-04-02 04:00:00+00:00,5.77,6.26,5.77,6.05,130969.0,1749.0,6.0785
ABVX,2025-04-03 04:00:00+00:00,6.0,6.0,5.73,5.79,98276.0,1557.0,5.848905
ABVX,2025-04-04 04:00:00+00:00,5.54,5.75,5.155,5.32,150559.0,1579.0,5.402912
ACET,2025-03-31 04:00:00+00:00,0.8092,0.82,0.755,0.755,353951.0,1239.0,0.781324
ACET,2025-04-01 04:00:00+00:00,0.77,0.8191,0.735,0.735,347458.0,1184.0,0.77484
ACET,2025-04-02 04:00:00+00:00,0.738,0.7523,0.6914,0.724,436315.0,1482.0,0.715122
ACET,2025-04-03 04:00:00+00:00,0.7,0.7249,0.67,0.671,323271.0,1528.0,0.692674
ACET,2025-04-04 04:00:00+00:00,0.67,0.7133,0.6262,0.6387,428459.0,1796.0,0.657879
ACIC,2025-03-31 04:00:00+00:00,11.39,11.65,11.38,11.57,200789.0,3966.0,11.549813
ACIC,2025-04-01 04:00:00+00:00,11.54,11.69,11.35,11.53,163695.0,3398.0,11.509858
ACIC,2025-04-02 04:00:00+00:00,11.45,11.66,11.34,11.39,153903.0,4856.0,11.425043
ACIC,2025-04-03 04:00:00+00:00,11.28,11.4,10.94,11.08,201391.0,4208.0,11.166283
ACIC,2025-04-04 04:00:00+00:00,10.74,10.91,10.49,10.81,287864.0,5401.0,10.729599
ABLLL,2025-03-31 04:00:00+00:00,25.25,25.25,24.43,24.43,485530.0,402.0,24.477315
ABLLL,2025-04-01 04:00:00+00:00,24.52,24.75,24.35,24.63,130806.0,750.0,24.590008
ABLLL,2025-04-02 04:00:00+00:00,24.71,25.6475,24.71,25.45,153529.0,759.0,24.975996
ABLLL,2025-04-03 04:00:00+00:00,25.66,25.66,25.09,25.4,12539.0,149.0,25.513665
ABLLL,2025-04-04 04:00:00+00:00,25.2,25.64,25.01,25.15,22025.0,142.0,25.155836
ABLV,2025-03-31 04:00:00+00:00,0.95,0.95,0.87,0.9,6115.0,280.0,0.916535
ABLV,2025-04-01 04:00:00+00:00,0.91,0.99,0.825,0.825,35600.0,182.0,0.953086
ABLV,2025-04-02 04:00:00+00:00,0.8801,0.9894,0.8801,0.9,108235.0,435.0,0.934828
ABLV,2025-04-03 04:00:00+00:00,0.901,0.93,0.8411,0.86,13223.0,126.0,0.876144
ABLV,2025-04-04 04:00:00+00:00,0.92,0.93,0.86,0.8806,44800.0,145.0,0.885364
ABNB,2025-03-31 04:00:00+00:00,118.81,119.95,115.68,119.46,7090262.0,92934.0,118.171329
ABNB,2025-04-01 04:00:00+00:00,119.67,121.35,117.8,121.18,3916445.0,60583.0,120.244497
ABNB,2025-04-02 04:00:00+00:00,119.48,124.59,119.08,122.8,5184821.0,78516.0,122.727303
ABNB,2025-04-03 04:00:00+00:00,116.62,117.18,111.8,113.97,7950124.0,119160.0,113.81571
ABNB,2025-04-04 04:00:00+00:00,109.26,110.42,104.73,106.66,10259829.0,145751.0,107.538305
ABVC,2025-03-31 04:00:00+00:00,0.868,1.09,0.85,1.06,843858.0,2504.0,0.979766
ABVC,2025-04-01 04:00:00+00:00,1.14,1.4,1.11,1.32,2020661.0,4792.0,1.292349
ABVC,2025-04-02 04:00:00+00:00,1.16,1.39,1.1,1.105,685641.0,2062.0,1.172547
ABVC,2025-04-03 04:00:00+00:00,1.1,1.17,0.9,0.9145,500626.0,1327.0,1.004706
ABVC,2025-04-04 04:00:00+00:00,0.8805,0.91,0.739,0.742,231068.0,955.0,0.781658
AAL,2025-03-31 04:00:00+00:00,10.41,10.68,10.06,10.55,66955084.0,118832.0,10.418494
AAL,2025-04-01 04:00:00+00:00,10.3,10.36,9.92,10.3,74551390.0,144884.0,10.179414
AAL,2025-04-02 04:00:00+00:00,10.11,10.64,10.1,10.59,64334492.0,117699.0,10.503688
AAL,2025-04-03 04:00:00+00:00,9.975,9.98,9.5,9.505,77097935.0,176942.0,9.66073
AAL,2025-04-04 04:00:00+00:00,9.22,9.58,8.5,9.46,110347474.0,234939.0,9.066455
AAPL,2025-03-31 04:00:00+00:00,217.005,225.62,216.23,222.13,65298894.0,646558.0,220.644612
AAPL,2025-04-01 04:00:00+00:00,219.805,223.68,218.9,223.19,36412740.0,594670.0,222.333555
AAPL,2025-04-02 04:00:00+00:00,221.315,225.19,221.02,223.89,35905904.0,473114.0,223.770488
AAPL,2025-04-03 04:00:00+00:00,205.54,207.49,201.25,203.19,103418915.0,1366636.0,204.016333
AAPL,2025-04-04 04:00:00+00:00,193.89,199.88,187.34,188.38,125908914.0,1716108.0,192.430879
ACGLN,2025-03-31 04:00:00+00:00,17.47,17.5651,17.41,17.43,221285.0,906.0,17.466306
ACGLN,2025-04-01 04:00:00+00:00,17.5,17.5567,17.4,17.5,49657.0,525.0,17.476526
ACGLN,2025-04-02 04:00:00+00:00,17.42,17.52,17.3707,17.51,48020.0,375.0,17.464206
ACGLN,2025-04-03 04:00:00+00:00,17.28,17.32,17.08,17.3,63633.0,483.0,17.199149
ACGLN,2025-04-04 04:00:00+00:00,17.07,17.26,16.87,17.25,65041.0,556.0,17.073663
ACGLO,2025-03-31 04:00:00+00:00,20.89,21.01,20.69,20.71,88993.0,543.0,20.77608
ACGLO,2025-04-01 04:00:00+00:00,20.83,21.0,20.69,20.69,16282.0,182.0,20.75989
ACGLO,2025-04-02 04:00:00+00:00,20.66,20.777,20.65,20.69,22573.0,202.0,20.696401
ACGLO,2025-04-03 04:00:00+00:00,20.56,20.59,20.34,20.44,36990.0,370.0,20.497708
ACGLO,2025-04-04 04:00:00+00:00,20.44,20.63,20.2101,20.53,46168.0,431.0,20.430369
AAPG,2025-03-31 04:00:00+00:00,20.75,21.95,20.75,21.95,21075.0,319.0,21.332059
AAPG,2025-04-01 04:00:00+00:00,22.65,23.37,22.52,23.04,70308.0,530.0,22.890095
AAPG,2025-04-02 04:00:00+00:00,23.1,23.5238,22.7,23.0,50870.0,772.0,23.02495
AAPG,2025-04-03 04:00:00+00:00,22.62,24.0204,22.5,23.07,71568.0,838.0,22.715249
AAPG,2025-04-04 04:00:00+00:00,22.21,22.21,19.63,20.95,81412.0,320.0,21.135418
ABLLW,2025-03-31 04:00:00+00:00,1.55,1.59,1.52,1.59,20391.0,74.0,1.546461
ABLLW,2025-04-01 04:00:00+00:00,1.55,1.57,1.5,1.53,12951.0,30.0,1.547031
ABLLW,2025-04-02 04:00:00+00:00,1.5,1.61,1.5,1.601,19945.0,61.0,1.578123
ABLLW,2025-04-03 04:00:00+00:00,1.55,1.55,1.5,1.52,21826.0,108.0,1.520274
ABLLW,2025-04-04 04:00:00+00:00,1.31,1.51,1.2901,1.45,55728.0,173.0,1.402217
ABL,2025-03-31 04:00:00+00:00,7.51,7.62,7.2,7.49,348120.0,3721.0,7.421774
ABL,2025-04-01 04:00:00+00:00,7.47,7.55,7.25,7.33,206205.0,2874.0,7.389091
ABL,2025-04-02 04:00:00+00:00,7.29,7.9,7.26,7.87,401423.0,4868.0,7.732537
ABL,2025-04-03 04:00:00+00:00,7.5,7.84,7.5,7.63,208636.0,2615.0,7.631163
ABL,2025-04-04 04:00:00+00:00,7.42,7.51,6.91,7.08,466354.0,5795.0,7.214298
ABPWW,2025-03-31 04:00:00+00:00,0.0256,0.0256,0.0255,0.0255,300.0,3.0,0.025567
ABPWW,2025-04-01 04:00:00+00:00,0.0255,0.0255,0.0255,0.0255,0.0,0.0,0.0
ABPWW,2025-04-02 04:00:00+00:00,0.04,0.0479,0.04,0.04,7905.0,79.0,0.041465
ABPWW,2025-04-03 04:00:00+00:00,0.044,0.052,0.044,0.044,7965.0,90.0,0.046667
ABPWW,2025-04-04 04:00:00+00:00,0.044,0.044,0.044,0.044,0.0,0.0,0.0
ACDC,2025-03-31 04:00:00+00:00,7.63,7.85,7.54,7.59,419232.0,5710.0,7.684341
ACDC,2025-04-01 04:00:00+00:00,7.55,8.065,7.42,8.03,309182.0,6364.0,7.86366
ACDC,2025-04-02 04:00:00+00:00,7.86,8.38,7.77,8.33,317001.0,6181.0,8.211499
ACDC,2025-04-03 04:00:00+00:00,7.53,7.715,6.65,6.675,647587.0,7396.0,6.960874
ACDC,2025-04-04 04:00:00+00:00,6.35,6.35,5.12,5.16,1206772.0,14091.0,5.502539
ACGL,2025-03-31 04:00:00+00:00,95.06,96.815,95.0,96.18,1757108.0,26611.0,96.05862
ACGL,2025-04-01 04:00:00+00:00,96.01,96.8,94.995,96.14,1332082.0,26305.0,96.060946
ACGL,2025-04-02 04:00:00+00:00,95.64,96.92,95.13,96.82,1107425.0,21147.0,96.428289
ACGL,2025-04-03 04:00:00+00:00,95.14,96.9,95.05,96.28,1430706.0,30733.0,96.238666
ACGL,2025-04-04 04:00:00+00:00,94.37,94.49,87.4801,87.83,2688247.0,45181.0,89.331503
ACHC,2025-03-31 04:00:00+00:00,29.91,31.04,29.7,30.32,2842512.0,33395.0,30.399264
ACHC,2025-04-01 04:00:00+00:00,30.44,30.97,29.37,29.93,4128567.0,32289.0,30.230606
ACHC,2025-04-02 04:00:00+00:00,29.65,30.135,29.18,29.21,2110573.0,28544.0,29.460378
ACHC,2025-04-03 04:00:00+00:00,28.7,29.0,28.0175,28.38,2235759.0,32102.0,28.425938
ACHC,2025-04-04 04:00:00+00:00,27.65,27.77,26.72,27.37,1613368.0,27023.0,27.268818
ACHV,2025-03-31 04:00:00+00:00,2.7,2.8,2.655,2.67,111796.0,1152.0,2.688444
ACHV,2025-04-01 04:00:00+00:00,2.67,2.75,2.48,2.51,136169.0,1481.0,2.536033
ACHV,2025-04-02 04:00:00+00:00,2.46,2.59,2.44,2.55,150415.0,1514.0,2.520686
ACHV,2025-04-03 04:00:00+00:00,2.45,2.53,2.34,2.42,235220.0,1467.0,2.405143
ACHV,2025-04-04 04:00:00+00:00,2.34,2.4499,2.1186,2.18,580065.0,2850.0,2.252561
AAME,2025-03-31 04:00:00+00:00,1.6488,1.78,1.6187,1.7,21177.0,269.0,1.699604
AAME,2025-04-01 04:00:00+00:00,1.65,1.84,1.56,1.56,12701.0,183.0,1.645242
AAME,2025-04-02 04:00:00+00:00,1.59,1.82,1.48,1.58,38572.0,629.0,1.629528
AAME,2025-04-03 04:00:00+00:00,1.58,1.72,1.48,1.59,24654.0,229.0,1.571296
AAME,2025-04-04 04:00:00+00:00,1.5,1.63,1.48,1.48,4859.0,97.0,1.556628
ABLVW,2025-03-31 04:00:00+00:00,0.0268,0.0268,0.0268,0.0268,100.0,1.0,0.0268
ABLVW,2025-04-01 04:00:00+00:00,0.02,0.022,0.0165,0.019,49299.0,82.0,0.019698
ABLVW,2025-04-02 04:00:00+00:00,0.02,0.025,0.02,0.02,26851.0,18.0,0.021043
ABLVW,2025-04-03 04:00:00+00:00,0.026,0.0261,0.0165,0.0165,3325.0,6.0,0.025516
ABLVW,2025-04-04 04:00:00+00:00,0.03,0.03,0.0219,0.0219,722.0,11.0,0.026859
ABVE,2025-03-31 04:00:00+00:00,0.649,0.6887,0.56,0.5939,264749.0,278.0,0.606972
ABVE,2025-04-01 04:00:00+00:00,0.59,0.6762,0.542,0.5678,152057.0,227.0,0.603918
ABVE,2025-04-02 04:00:00+00:00,0.6307,0.6397,0.5506,0.5607,74383.0,161.0,0.591988
ABVE,2025-04-03 04:00:00+00:00,0.589,0.6805,0.5203,0.567,289046.0,560.0,0.57473
ABVE,2025-04-04 04:00:00+00:00,0.567,0.64,0.4804,0.4908,151489.0,380.0,0.539219
ACB,2025-03-31 04:00:00+00:00,4.32,4.475,4.2,4.39,724806.0,4906.0,4.357503
ACB,2025-04-01 04:00:00+00:00,4.38,4.52,4.3,4.37,797414.0,5533.0,4.411007
ACB,2025-04-02 04:00:00+00:00,4.37,4.52,4.31,4.47,762632.0,4865.0,4.42457
ACB,2025-04-03 04:00:00+00:00,4.33,4.42,4.27,4.29,715790.0,5424.0,4.329302
ACB,2025-04-04 04:00:00+00:00,4.15,4.1675,3.84,4.015,1021579.0,6706.0,3.988438
ABTS,2025-03-31 04:00:00+00:00,3.28,3.28,3.0,3.01,3265.0,71.0,3.027041
ABTS,2025-04-01 04:00:00+00:00,3.01,3.01,2.44,2.69,16262.0,434.0,2.75013
ABTS,2025-04-02 04:00:00+00:00,2.68,2.68,2.3499,2.53,8659.0,152.0,2.468316
